datetime,CH4,NOX,NO,NO2,SO2,H2S,Benzene,Toluene,Ethylbenzene,PM1 FIDAS,PM2.5 FIDAS,PM4 FIDAS,PM10 FIDAS,TSP FIDAS
2024-01-01 00:00:00,1494.12948,11.82429621,1.2332191872,9.792954063415527,1.257684442,0.94484565,0.22,1.17,0.12,1.12,1.72,2.18,2.39,2.54
2024-01-01 00:15:00,3114.4802600000003,9.64107071,2.341394016,6.0576869797706605,2.645613124,5.0542245,0.26,1.1,0.12,1.02,1.58,2.0,2.38,2.97
2024-01-01 00:20:00,3195.52614,7.350268279999999,1.580787936,4.930953812599182,2.593277624,5.572908,0.26,1.1,0.12,1.02,1.58,2.0,2.38,2.97
2024-01-01 00:25:00,3141.496,8.49522924,1.808866176,5.7268524169921875,2.82841258,5.7106604999999995,0.26,1.1,0.12,1.02,1.58,2.0,2.38,2.97
2024-01-01 00:30:00,2945.6362400000003,15.405328469999999,3.36787776,10.250963821411132,3.4032864600000003,5.070996,0.22,1.13,0.14,1.15,1.78,2.2,2.39,2.55
2024-01-01 00:35:00,2979.4055800000006,21.655465399999997,5.294495232,13.552512454986571,4.91896776,4.568388000000001,0.26,1.1,0.12,1.15,1.78,2.2,2.39,2.55
2024-01-01 00:40:00,3053.69853,10.940174399999998,3.5705404799999996,5.475645055770874,3.6122161600000005,4.767060000000001,0.26,1.1,0.12,1.15,1.78,2.2,2.39,2.55
2024-01-01 00:45:00,3344.11204,5.174715249999999,1.707137952,2.562028286457062,2.7497430800000005,6.7804935,0.26,1.1,0.12,1.5,2.41,3.13,3.16,3.29
2024-01-01 00:50:00,3242.8046900000004,4.35913379,0.89580816,2.988145314455032,2.436075348,6.3999255,0.26,1.1,0.12,1.5,2.41,3.13,3.16,3.29
2024-01-01 00:55:00,3263.0668300000007,4.33941877,0.654883632,3.3371529340744015,2.253075062,6.751426499999999,0.26,1.1,0.12,1.5,2.41,3.13,3.16,3.29
2024-01-01 01:00:00,3263.0675000000006,4.51382087,0.5280397824,3.7056828999519347,2.174609052,5.897845500000001,0.22,1.15,0.14,1.58,2.78,3.82,4.51,4.98
2024-01-01 01:05:00,3269.8211,4.31940197,0.25,3.7053937339782714,2.226809158,6.3561735,0.26,1.1,0.12,1.58,2.78,3.82,4.51,4.98
2024-01-01 01:10:00,3175.2680200000004,3.89204329,0.5278681824,3.0841682267189023,2.1483439460000002,4.8919785,0.26,1.1,0.12,1.58,2.78,3.82,4.51,4.98
2024-01-01 01:15:00,3107.7300100000007,5.87172582,1.1742591744,4.074582633972168,2.200544052,3.3816435,0.26,1.1,0.12,1.68,2.96,4.01,4.5,4.92
2024-01-01 01:20:00,2945.63892,4.95907625,1.1995279296,3.1232602787017822,1.965280618,3.824568,0.26,1.1,0.12,1.68,2.96,4.01,4.5,4.92
2024-01-01 01:25:00,2992.91613,5.71583162,2.099449248,2.502732412815094,1.9913480860000001,2.1916185,0.26,1.1,0.12,1.68,2.96,4.01,4.5,4.92
2024-01-01 01:30:00,2911.8702500000004,5.03611992,2.11204656,1.803741067647934,1.9390168420000002,3.8863529999999997,0.26,1.1,0.12,1.7,3.13,4.42,5.13,5.67
2024-01-01 01:35:00,3296.8381799999997,4.2399326,1.402099296,2.0940917110443116,1.9389516720000002,5.2150605,0.26,1.1,0.12,1.7,3.13,4.42,5.13,5.67
2024-01-01 01:40:00,3040.1933400000003,4.4919838400000005,1.338634752,2.4432721471786496,2.095682596,6.101259,0.26,1.1,0.12,1.7,3.13,4.42,5.13,5.67
2024-01-01 01:45:00,3134.7470900000003,4.49168015,0.8061467232,3.257913943529129,1.729758632,4.589967,0.26,1.1,0.12,1.65,3.02,4.15,5.04,5.75
2024-01-01 01:50:00,3100.9784200000004,4.122549729999999,0.5398580928,3.296324520111084,1.8080919080000002,5.2471950000000005,0.26,1.1,0.12,1.65,3.02,4.15,5.04,5.75
2024-01-01 01:55:00,3006.42467,3.9669477599999996,0.5524487904,3.121453332901001,1.808026738,3.6285015000000005,0.26,1.1,0.12,1.65,3.02,4.15,5.04,5.75
2024-01-01 02:00:00,3073.96402,3.65605133,0.6791277792,2.616681110858917,1.6772989100000002,5.1718755,0.23,1.01,0.11,1.72,3.21,4.53,5.26,5.89
2024-01-01 02:05:00,3134.7477600000007,3.59750983,0.6917192256000001,2.5388690519332884,1.651101634,5.065443,0.26,1.1,0.12,1.72,3.21,4.53,5.26,5.89
2024-01-01 02:10:00,3019.93321,3.53896833,0.7296636672000001,2.422255473136902,1.52037487,4.3171695,0.26,1.1,0.12,1.72,3.21,4.53,5.26,5.89
2024-01-01 02:15:00,2959.1494700000003,3.5968986299999997,0.8816983968,2.2475045061111447,1.415781276,3.660411,0.26,1.1,0.12,1.52,2.54,3.33,3.46,3.63
2024-01-01 02:20:00,2925.3808000000004,4.48955623,1.5027717120000001,2.1896412563323975,1.624775348,3.9205995,0.26,1.1,0.12,1.52,2.54,3.33,3.46,3.63
2024-01-01 02:25:00,3040.1960200000003,6.19753935,2.149203264,2.9082940661907193,1.703107028,4.3031429999999995,0.26,1.1,0.12,1.52,2.54,3.33,3.46,3.63
2024-01-01 02:30:00,3026.68882,8.42966276,2.542103616,4.539103407859802,2.0166276620000003,4.6552035,0.21,1.05,0.11,1.37,2.43,3.25,3.85,4.56
2024-01-01 02:35:00,3060.4574900000007,3.7121518499999997,1.0208060928,2.1498604428768155,1.7552414320000003,4.7015385,0.26,1.1,0.12,1.37,2.43,3.25,3.85,4.56
2024-01-01 02:40:00,2932.1350700000003,3.8865596800000004,0.9446608704,2.4408044457435607,1.572252318,4.48791,0.26,1.1,0.12,1.37,2.43,3.25,3.85,4.56
2024-01-01 02:45:00,3033.4424200000003,4.09979208,0.9699307488000001,2.615362787246704,1.519924,3.6471599999999995,0.26,1.1,0.12,1.35,2.38,3.2,3.48,3.86
2024-01-01 02:50:00,3080.7203000000004,4.83716477,1.2233864448,2.9648346662521363,1.6766509340000002,5.5442355,0.26,1.1,0.12,1.35,2.38,3.2,3.48,3.86
2024-01-01 02:55:00,3107.73604,5.98220786,1.590936672,3.547360886335373,1.96403627,6.233219999999999,0.26,1.1,0.12,1.35,2.38,3.2,3.48,3.86
2024-01-01 03:00:00,3087.47457,5.24422779,1.1091268032000001,3.546765933036804,1.990102142,5.1934755,0.21,1.0,0.11,1.35,2.42,3.27,3.84,4.43
2024-01-01 03:05:00,3026.6894899999998,3.53560864,0.8428233216000001,2.2457107663154603,1.7287199020000001,5.270511,0.26,1.1,0.12,1.35,2.42,3.27,3.84,4.43
2024-01-01 03:10:00,2918.6292099999996,3.5353030399999996,0.7793527872,2.3425435709953306,1.624128436,3.6641580000000005,0.26,1.1,0.12,1.35,2.42,3.27,3.84,4.43
2024-01-01 03:15:00,2763.2910500000003,3.74853735,0.6271408416,2.7887303113937376,1.5979319580000002,2.4553575,0.26,1.1,0.12,1.28,2.3,3.26,3.39,3.6
2024-01-01 03:20:00,2824.07546,4.00060005,0.7918606176,2.7886977517604827,1.676261776,2.7923145,0.26,1.1,0.12,1.28,2.3,3.26,3.39,3.6
